Total Nacional;Comunidades y Ciudades Autanomas;Producto consumido;año;Total
Total Nacional;;Electricidad;2021;8.892.228
Total Nacional;01 Andalucaa;Electricidad;2021;941.599
Total Nacional;02 Aragon;Electricidad;2021;477.683
Total Nacional;03 Asturias, Principado de;Electricidad;2021;543.877
Total Nacional;04 Balears, Illes;Electricidad;2021;12.505
Total Nacional;05 Canarias;Electricidad;2021;38.048
Total Nacional;06 Cantabria;Electricidad;2021;233.187
Total Nacional;07 Castilla y Leon;Electricidad;2021;522.358
Total Nacional;08 Castilla - La Mancha;Electricidad;2021;384.581
Total Nacional;09 Cataluña;Electricidad;2021;1.889.476
Total Nacional;10 Comunitat Valenciana;Electricidad;2021;947.187
Total Nacional;11 Extremadura;Electricidad;2021;154.976
Total Nacional;12 Galicia;Electricidad;2021;779.525
Total Nacional;13 Madrid, Comunidad de;Electricidad;2021;376.289
Total Nacional;14 Murcia, Region de;Electricidad;2021;293.225
Total Nacional;15 Navarra, Comunidad Foral de;Electricidad;2021;303.979
Total Nacional;16 Pais Vasco;Electricidad;2021;940.939
Total Nacional;17 Rioja, La;Electricidad;2021;52.543
Total Nacional;18 Ceuta;Electricidad;2021;.
Total Nacional;19 Melilla;Electricidad;2021;.
