Comunidad Autonoma y Provincia;Tipo de vivienda (principal o no);Ano de construccion del edificio;Total
Total Nacional;Vivienda principal;Total;18.536.616
01 Andalucia;Vivienda principal;Total;3.241.130
04 Almeria;Vivienda principal;Total;274.943
11 Cádiz;Vivienda principal;Total;468.478
14 Cordoba;Vivienda principal;Total;299.346
18 Granada;Vivienda principal;Total;367.986
21 Huelva;Vivienda principal;Total;200.494
23 Jaen;Vivienda principal;Total;246.169
29 Malaga;Vivienda principal;Total;660.335
41 Sevilla;Vivienda principal;Total;723.379
