"Año";"Periodo";"Renta bruta media per cápita"
"2013";"Año";"16.037"
"2014";"Año";"15.795"
"2015";"Año";"15.918"
"2016";"Año";"17.008"
"2017";"Año";"15.532"
"2018";"Año";"18.474"
"2019";"Año";"18.212"
;;
;;
"Métrica":"Renta bruta media per cápita"
"Fuente":"AEAT"
"Clasificación":""
"Unidad":"Euros de media per cápita"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/renta-bruta-media-euros/faffeb07-2da9-4354-b171-d698f3556609/antas/968"
"Titulo":"La renta bruta media de Antas es de 18.212﻿ euros"
"Subtitulo":""
