Comunidades Autónomas y Provincias,Tipo de vivienda,Periodo,Total
Total Nacional,Total viviendas,2011,25218536
Total Nacional,Vivienda principal,2011,18083692
Total Nacional,Vivienda no principal,2011,7124931
01 Andalucía,Total viviendas,2011,4354360
01 Andalucía,Vivienda principal,2011,3087222
01 Andalucía,Vivienda no principal,2011,1265924
04 Almería,Total viviendas,2011,395155
04 Almería,Vivienda principal,2011,249309
04 Almería,Vivienda no principal,2011,145777
11 Cádiz,Total viviendas,2011,618721
11 Cádiz,Vivienda principal,2011,447975
11 Cádiz,Vivienda no principal,2011,170571
14 Córdoba,Total viviendas,2011,396244
14 Córdoba,Vivienda principal,2011,296688
14 Córdoba,Vivienda no principal,2011,99397
18 Granada,Total viviendas,2011,532267
18 Granada,Vivienda principal,2011,350186
18 Granada,Vivienda no principal,2011,181902
21 Huelva,Total viviendas,2011,287866
21 Huelva,Vivienda principal,2011,189566
21 Huelva,Vivienda no principal,2011,98241
23 Jaén,Total viviendas,2011,344025
23 Jaén,Vivienda principal,2011,247993
23 Jaén,Vivienda no principal,2011,95923
29 Málaga,Total viviendas,2011,897647
29 Málaga,Vivienda principal,2011,606351
29 Málaga,Vivienda no principal,2011,291049
41 Sevilla,Total viviendas,2011,882434
41 Sevilla,Vivienda principal,2011,699154
41 Sevilla,Vivienda no principal,2011,183064
